==============================================================================================================
EVALUATION REPORT: RETRIEVAL AND SORTING MODELS PERFORMANCE VS GROUND TRUTH
==============================================================================================================
Target Job Description: Software Engineering Manager (Fiserv)
Evaluation Dataset: train (1).csv (Fiserv JD subset - 98 CVs)
Generated at: 2026-07-22 10:52:00

This report evaluates how well each of our search/retrieval models sorted the 98 candidates
compared to the original ATS compatibility scores and labels present in the training dataset.

--------------------------------------------------------------------------------------------------------------
SUMMARY TABLE:
--------------------------------------------------------------------------------------------------------------
Model                | Spearman | Pearson | NDCG@10 (Cont) | NDCG@20 (Cont) | NDCG@50 (Cont) | NDCG@All (Cont) | NDCG@10 (Cat) | NDCG@20 (Cat) | NDCG@50 (Cat) | NDCG@All (Cat) | P@10 (Good) | P@20 (Good) | P@50 (Good) | P@All (Good) | P@10 (Good+Pot) | P@20 (Good+Pot) | P@50 (Good+Pot) | P@All (Good+Pot) | MRR (Good)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TF-IDF               | -0.037   | -0.074  | 0.464          | 0.483          | 0.619          | 0.828           | 0.196         | 0.235         | 0.384         | 0.647          | 0.100       | 0.200       | 0.220       | 0.245        | 0.400           | 0.350           | 0.340           | 0.347            | 0.100     
Embed M2             | -0.212   | -0.186  | 0.361          | 0.413          | 0.526          | 0.795           | 0.102         | 0.163         | 0.247         | 0.597          | 0.100       | 0.150       | 0.140       | 0.245        | 0.100           | 0.250           | 0.240           | 0.347            | 0.250     
Embed M1             | 0.040    | 0.058   | 0.419          | 0.455          | 0.622          | 0.819           | 0.181         | 0.229         | 0.404         | 0.643          | 0.200       | 0.250       | 0.260       | 0.245        | 0.300           | 0.300           | 0.360           | 0.347            | 0.125     
Hybrid M2            | -0.216   | -0.207  | 0.329          | 0.361          | 0.511          | 0.781           | 0.024         | 0.075         | 0.214         | 0.562          | 0.000       | 0.050       | 0.140       | 0.245        | 0.100           | 0.150           | 0.240           | 0.347            | 0.077     
Hybrid M1            | 0.004    | -0.115  | 0.321          | 0.408          | 0.597          | 0.797           | 0.023         | 0.154         | 0.360         | 0.597          | 0.000       | 0.200       | 0.260       | 0.245        | 0.100           | 0.250           | 0.360           | 0.347            | 0.071     
LLM Rubric (Gemma 3) | 0.300    | 0.363   | 0.676          | 0.650          | 0.772          | 0.892           | 0.523         | 0.472         | 0.644         | 0.781          | 0.400       | 0.350       | 0.380       | 0.245        | 0.800           | 0.700           | 0.520           | 0.347            | 0.500     
NBK ATS Semantic     | 0.322    | 0.401   | 0.817          | 0.729          | 0.809          | 0.929           | 0.770         | 0.623         | 0.722         | 0.870          | 0.700       | 0.500       | 0.360       | 0.245        | 0.700           | 0.550           | 0.460           | 0.347            | 1.000     

Note:
  * Spearman: Spearman's rank correlation coefficient. Higher = better rank-sorting agreement.
  * Pearson: Pearson linear correlation coefficient. Higher = better score scaling agreement.
  * NDCG@K (Cont): NDCG using ground truth score directly as continuous relevance.
  * NDCG@K (Cat): NDCG using categorical relevance (Good Fit=3, Potential Fit=1, No Fit=0).
  * P@K (Good): Precision at K: percentage of top-K results that are actually 'Good Fit'.
  * MRR (Good): Mean Reciprocal Rank of the first 'Good Fit' candidate.

--------------------------------------------------------------------------------------------------------------
KEY ANALYSIS & INSIGHTS:
--------------------------------------------------------------------------------------------------------------
1. Best Ranking/Sorting Model: NBK ATS Semantic (Spearman Rank Correlation = 0.322).
2. Best Precision Model:
   - Top 10: NBK ATS Semantic (P@10 Good Fit = 70.0%)
   - Top 50: LLM Rubric (Gemma 3) (P@50 Good Fit = 38.0%)
3. Best Cumulative Gain:
   - Top 10: NBK ATS Semantic (NDCG@10 = 0.817)
   - Top 50: NBK ATS Semantic (NDCG@50 = 0.809)

--------------------------------------------------------------------------------------------------------------
DETAILED RANKINGS BREAKDOWNS (ALL 98 CANDIDATES LISTED):
--------------------------------------------------------------------------------------------------------------
==========================================================================================
COMPLETE SORTED CANDIDATE RANKINGS (1 to 98): TF-IDF
==========================================================================================
Model Rank | Filename   | Model Score | Ground Truth Score | Ground Truth Label
----------------------------------------------------------------------------------------
1          | cv_91.docx | 14.50       | 53.40              | Potential Fit
2          | cv_36.docx | 13.37       | 23.00              | No Fit
3          | cv_29.docx | 12.30       | 53.20              | Potential Fit
4          | cv_67.docx | 12.22       | 28.50              | No Fit
5          | cv_40.docx | 12.12       | 28.70              | No Fit
6          | cv_15.docx | 11.54       | 24.00              | No Fit
7          | cv_95.docx | 11.49       | 21.20              | No Fit
8          | cv_75.docx | 11.35       | 28.40              | No Fit
9          | cv_83.docx | 11.15       | 59.10              | Potential Fit
10         | cv_97.docx | 10.69       | 88.90              | Good Fit
11         | cv_6.docx  | 10.42       | 86.70              | Good Fit
12         | cv_8.docx  | 10.41       | 29.10              | No Fit
13         | cv_68.docx | 10.15       | 28.00              | No Fit
14         | cv_32.docx | 10.02       | 24.10              | No Fit
15         | cv_9.docx  | 9.96        | 85.80              | Good Fit
16         | cv_47.docx | 9.54        | 26.90              | No Fit
17         | cv_94.docx | 9.34        | 24.80              | No Fit
18         | cv_66.docx | 9.25        | 80.70              | Good Fit
19         | cv_57.docx | 9.23        | 20.80              | No Fit
20         | cv_86.docx | 9.21        | 20.90              | No Fit
21         | cv_52.docx | 9.17        | 84.30              | Good Fit
22         | cv_82.docx | 9.10        | 82.30              | Good Fit
23         | cv_27.docx | 9.06        | 21.90              | No Fit
24         | cv_65.docx | 9.00        | 83.70              | Good Fit
25         | cv_85.docx | 8.92        | 82.10              | Good Fit
26         | cv_41.docx | 8.87        | 20.40              | No Fit
27         | cv_5.docx  | 8.81        | 88.60              | Good Fit
28         | cv_11.docx | 8.69        | 26.90              | No Fit
29         | cv_88.docx | 8.67        | 20.50              | No Fit
30         | cv_34.docx | 8.60        | 28.70              | No Fit
31         | cv_58.docx | 8.47        | 27.10              | No Fit
32         | cv_20.docx | 8.44        | 56.10              | Potential Fit
33         | cv_48.docx | 8.31        | 26.80              | No Fit
34         | cv_2.docx  | 8.21        | 25.40              | No Fit
35         | cv_90.docx | 8.21        | 27.60              | No Fit
36         | cv_84.docx | 8.20        | 53.40              | Potential Fit
37         | cv_13.docx | 8.13        | 82.50              | Good Fit
38         | cv_45.docx | 8.08        | 57.20              | Potential Fit
39         | cv_3.docx  | 8.00        | 23.50              | No Fit
40         | cv_77.docx | 7.95        | 22.30              | No Fit
41         | cv_74.docx | 7.93        | 21.40              | No Fit
42         | cv_23.docx | 7.92        | 26.90              | No Fit
43         | cv_53.docx | 7.87        | 25.60              | No Fit
44         | cv_43.docx | 7.66        | 29.20              | No Fit
45         | cv_12.docx | 7.51        | 25.40              | No Fit
46         | cv_79.docx | 7.28        | 85.30              | Good Fit
47         | cv_31.docx | 7.22        | 20.60              | No Fit
48         | cv_19.docx | 7.18        | 28.60              | No Fit
49         | cv_98.docx | 7.16        | 25.60              | No Fit
50         | cv_56.docx | 7.15        | 23.70              | No Fit
51         | cv_62.docx | 7.07        | 21.30              | No Fit
52         | cv_22.docx | 6.94        | 29.80              | No Fit
53         | cv_1.docx  | 6.88        | 26.90              | No Fit
54         | cv_89.docx | 6.79        | 20.50              | No Fit
55         | cv_93.docx | 6.71        | 29.90              | No Fit
56         | cv_50.docx | 6.65        | 24.70              | No Fit
57         | cv_51.docx | 6.61        | 27.90              | No Fit
58         | cv_87.docx | 6.51        | 89.80              | Good Fit
59         | cv_4.docx  | 6.48        | 26.90              | No Fit
60         | cv_80.docx | 6.22        | 25.60              | No Fit
61         | cv_71.docx | 5.62        | 52.70              | Potential Fit
62         | cv_38.docx | 5.61        | 28.40              | No Fit
63         | cv_42.docx | 5.61        | 28.00              | No Fit
64         | cv_64.docx | 5.47        | 29.60              | No Fit
65         | cv_37.docx | 5.47        | 26.80              | No Fit
66         | cv_24.docx | 5.40        | 82.00              | Good Fit
67         | cv_33.docx | 5.34        | 29.30              | No Fit
68         | cv_78.docx | 5.30        | 22.10              | No Fit
69         | cv_72.docx | 5.29        | 28.10              | No Fit
70         | cv_39.docx | 5.28        | 54.80              | Potential Fit
71         | cv_16.docx | 5.18        | 21.00              | No Fit
